"protein","relationship_type","go_term","namespace","never_annotate"
"BSU_36840","inferred_from_descendant","GO:0110165","cellular_component","true"
"BSU_36840","inferred_from_descendant","GO:1901566","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0006753","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0006164","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0055086","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0022803","molecular_function","false"
"BSU_36840","inferred_from_descendant","GO:0009142","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0044238","biological_process","true"
"BSU_36840","inferred_from_descendant","GO:0006807","biological_process","true"
"BSU_36840","inferred_from_descendant","GO:0006796","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0003674","molecular_function","false"
"BSU_36840","inferred_from_descendant","GO:0044237","biological_process","true"
"BSU_36840","inferred_from_descendant","GO:0098660","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0006812","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0071704","biological_process","true"
"BSU_36840","inferred_from_descendant","GO:0009152","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0022857","molecular_function","false"
"BSU_36840","inferred_from_descendant","GO:0005216","molecular_function","false"
"BSU_36840","inferred_from_descendant","GO:0046034","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0019637","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:1901576","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0009150","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0009259","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0022900","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0009141","biological_process","false"
"BSU_36840","inferred_from_descendant","GO:0003824","molecular_function","false"
"BSU_36840","inferred_from_descendant","GO:0046390","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009142","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0006812","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0034641","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0015267","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0034654","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0018130","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0003824","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0046483","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0006810","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:1901360","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0019438","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0051234","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0006164","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0044249","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0090407","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0098660","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009259","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0098796","cellular_component","false"
"BSU_36860","inferred_from_descendant","GO:0005261","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0006807","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0072521","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0019637","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0071704","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0009145","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0046034","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0072522","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0055086","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0032991","cellular_component","false"
"BSU_36860","inferred_from_descendant","GO:0019693","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009150","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009117","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0015318","molecular_function","true"
"BSU_36860","inferred_from_descendant","GO:0009987","biological_process","true"
"BSU_36860","inferred_from_descendant","GO:0015252","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0009206","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0006753","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009260","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009152","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0098655","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0006793","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0005488","molecular_function","true"
"BSU_36860","inferred_from_descendant","GO:1901576","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901362","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901293","biological_process","false"
"BSU_36860","involved_in","GO:0015986","biological_process","false"
"BSU_36860","part_of","GO:0045263","cellular_component","false"
"BSU_36860","located_in","GO:0005886","cellular_component","false"
"BSU_36860","enables","GO:0046933","molecular_function","false"
"BSU_36860","involved_in","GO:0006754","biological_process","false"
"BSU_36860","located_in","GO:0016020","cellular_component","false"
"BSU_36860","part_of","GO:0033177","cellular_component","false"
"BSU_36860","involved_in","GO:1902600","biological_process","false"
"BSU_36860","enables","GO:0015078","molecular_function","false"
"BSU_36860","involved_in","GO:0006811","biological_process","false"
"BSU_36860","enables","GO:0008289","molecular_function","false"
"BSU_36860","inferred_from_descendant","GO:0098662","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0034220","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0044281","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901137","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009058","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0006725","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:1901566","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0009141","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0008150","biological_process","false"
"BSU_36860","inferred_from_descendant","GO:0055085","biological_process","false"
